0.5000    0.5000    0.5000    0.5000    0.5000    0.5000    0.5000    0.5000    0.5000    0.5000    0.5000    0.5000    0.5000    0.5000    0.5000    0.5000    0.5000    0.5000
0.2500    0.7500    0.2500    0.7500    0.2500    0.7500    0.2500    0.7500    0.7500    0.2500    0.7500    0.2500    0.7500    0.2500    0.7500    0.2500    0.2500    0.7500
0.7500    0.2500    0.7500    0.2500    0.7500    0.2500    0.7500    0.2500    0.2500    0.7500    0.2500    0.7500    0.2500    0.7500    0.2500    0.7500    0.7500    0.2500
0.1250    0.6250    0.8750    0.8750    0.6250    0.1250    0.3750    0.3750    0.8750    0.6250    0.6250    0.8750    0.8750    0.1250    0.3750    0.3750    0.8750    0.6250
0.6250    0.1250    0.3750    0.3750    0.1250    0.6250    0.8750    0.8750    0.3750    0.1250    0.1250    0.3750    0.3750    0.6250    0.8750    0.8750    0.3750    0.1250
0.3750    0.3750    0.6250    0.1250    0.8750    0.8750    0.1250    0.6250    0.1250    0.8750    0.3750    0.6250    0.1250    0.3750    0.6250    0.1250    0.6250    0.3750
0.8750    0.8750    0.1250    0.6250    0.3750    0.3750    0.6250    0.1250    0.6250    0.3750    0.8750    0.1250    0.6250    0.8750    0.1250    0.6250    0.1250    0.8750
0.0625    0.9375    0.6875    0.4375    0.8125    0.0625    0.4375    0.5625    0.8125    0.6875    0.0625    0.1875    0.4375    0.5625    0.3125    0.8125    0.8125    0.6875
0.5625    0.4375    0.1875    0.9375    0.3125    0.5625    0.9375    0.0625    0.3125    0.1875    0.5625    0.6875    0.9375    0.0625    0.8125    0.3125    0.3125    0.1875
0.3125    0.1875    0.9375    0.6875    0.5625    0.8125    0.1875    0.3125    0.0625    0.9375    0.8125    0.4375    0.6875    0.8125    0.5625    0.5625    0.5625    0.4375
0.8125    0.6875    0.4375    0.1875    0.0625    0.3125    0.6875    0.8125    0.5625    0.4375    0.3125    0.9375    0.1875    0.3125    0.0625    0.0625    0.0625    0.9375
0.1875    0.3125    0.3125    0.5625    0.4375    0.1875    0.0625    0.9375    0.1875    0.0625    0.6875    0.8125    0.5625    0.6875    0.1875    0.6875    0.1875    0.0625
0.6875    0.8125    0.8125    0.0625    0.9375    0.6875    0.5625    0.4375    0.6875    0.5625    0.1875    0.3125    0.0625    0.1875    0.6875    0.1875    0.6875    0.5625
0.4375    0.5625    0.0625    0.3125    0.1875    0.9375    0.3125    0.1875    0.9375    0.3125    0.4375    0.5625    0.3125    0.9375    0.9375    0.9375    0.4375    0.8125
0.9375    0.0625    0.5625    0.8125    0.6875    0.4375    0.8125    0.6875    0.4375    0.8125    0.9375    0.0625    0.8125    0.4375    0.4375    0.4375    0.9375    0.3125
0.0313    0.5313    0.4063    0.6563    0.9063    0.5938    0.7813    0.2813    0.0938    0.8438    0.4688    0.9063    0.6563    0.7188    0.5938    0.3438    0.7813    0.2188
0.5313    0.0313    0.9063    0.1563    0.4063    0.0938    0.2813    0.7813    0.5938    0.3438    0.9688    0.4063    0.1563    0.2188    0.0938    0.8438    0.2813    0.7188
0.2813    0.2813    0.1563    0.4063    0.6563    0.3438    0.5313    0.5313    0.8438    0.5938    0.7188    0.6563    0.4063    0.9688    0.3438    0.0938    0.5313    0.9688
0.7813    0.7813    0.6563    0.9063    0.1563    0.8438    0.0313    0.0313    0.3438    0.0938    0.2188    0.1563    0.9063    0.4688    0.8438    0.5938    0.0313    0.4688
0.1563    0.1563    0.5313    0.2813    0.2813    0.7188    0.6563    0.1563    0.9688    0.4688    0.8438    0.0313    0.2813    0.5938    0.9688    0.2188    0.1563    0.5938
